subset	SSW_SLE	SSW_HC	SSB
E04_Intermediate	0.521474562984192	0.339049455850149	0.139475981165659
F01_Neu	0.52531455163892	0.229227312503945	0.245435232646105
D01_mDC	0.542548750574626	0.301240131335155	0.156183391913937
B04_Tfh	0.545421521209507	0.288253985947192	0.166292905250907
D02_pDC	0.546017699100816	0.312453478699888	0.141556376481231
E03_NonClassical	0.549952786925793	0.303492300655873	0.146554912418334
F02_LDG	0.556389791069682	0.237422331846393	0.206165216248647
B05_NCD4	0.564036381808842	0.266016169111304	0.169947449079854
E02_CD16nMo	0.572649174605555	0.223834649624482	0.203545463492549
C05_EmCD8	0.573047107725068	0.235672105944592	0.19128078633034
G01_NK	0.583789993232018	0.219142019831777	0.197067986936205
B10_Fra3	0.588287879078657	0.251099716137832	0.160584282507856
C03_EffectorCD8	0.594245358528599	0.294009813504411	0.11174482796699
C04_CmCD8	0.596414333663331	0.253615526602026	0.149970139734642
C01_NCD8	0.600181888616888	0.20225624766138	0.197561863721732
B02_Th2	0.600465383200191	0.222727850858972	0.176835732137286
B03_TH17	0.602777228114441	0.262401214076622	0.134853353300336
B07_aTreg	0.607608864488345	0.273485039023556	0.1189060964881
E01_CD16pMo	0.608191638655145	0.210599807385957	0.18118034123496
A01_NaiB	0.615258598979608	0.217016418351591	0.167724982668801
A03_UnswMB	0.615317480783352	0.177664938255098	0.207017580961551
B09_Fra1	0.618720742611563	0.210488791738116	0.170790465650322
B01_Th1	0.622188867814395	0.162877732397412	0.214954950583417
A02_SwiMB	0.622877786304444	0.221175110337641	0.15591784391443
A04_DNB	0.623746069767435	0.232524172030189	0.143729758202376
B06_MCD4	0.641118314493552	0.21197091125497	0.146937262914329
A05_PB	0.648818888319019	0.229008484066523	0.12220184004727
